Customer Name,Customer Type,Customer Group,Territory,Mobile No,City
Shwe Pyi Mobile & Accessories,Company,Wholesale-A,Yangon,09420173456,Yangon
Ko Nay Lin Mobile Center,Company,Wholesale-A,Mandalay,09450988211,Mandalay
Thiri Mingalar Phone Shop,Company,Wholesale-B,Bago,09444123987,Bago
Taunggyi Star Mobile,Company,Wholesale-B,Taunggyi,09425977120,Taunggyi
Daw Hnin Ei (Walk-in Customer),Individual,Retail,Yangon,09430066215,Yangon
Hledan Mobile House,Company,Wholesale-A,Yangon,09420031821,Yangon
Shwe Taung Tan Mobile,Company,Wholesale-A,Yangon,09451002344,Yangon
Aung Mingalar Mobile,Company,Wholesale-B,Yangon,09425229110,Yangon
Insein Smart Mobile,Company,Wholesale-B,Yangon,09477008192,Yangon
North Okkalapa Mobile,Company,Wholesale-B,Yangon,09442177061,Yangon
South Dagon Mobile Mart,Company,Wholesale-A,Yangon,09479900152,Yangon
Lanmadaw Gadget & Phone,Company,Wholesale-B,Yangon,09431290844,Yangon
Kyimyindaing Mobile Center,Company,Wholesale-A,Yangon,09442087612,Yangon
Tamwe Accessories Hub,Company,Wholesale-B,Yangon,09445001919,Yangon
Thingangyun Phone Shop,Company,Wholesale-A,Yangon,09421007736,Yangon
Yankin Mobile Store,Company,Wholesale-B,Yangon,09445088031,Yangon
Chan Aye Thar Zan Mobile,Company,Wholesale-A,Mandalay,09444410022,Mandalay
Amarapura Phone & Accessories,Company,Wholesale-B,Mandalay,09444410933,Mandalay
Pyigyitagon Mobile Shop,Company,Wholesale-A,Mandalay,09444412678,Mandalay
Aung Myay Thar Zan Gadget Store,Company,Wholesale-B,Mandalay,09444414055,Mandalay
Patheingyi Mobile Center,Company,Wholesale-B,Mandalay,09444415580,Mandalay
Bago Shwe Hintha Mobile,Company,Wholesale-B,Bago,09444110072,Bago
Taungoo Mobile & Gadgets,Company,Wholesale-B,Other,09426244190,Taungoo
Nay Pyi Taw Phone City,Company,Wholesale-A,Nay Pyi Taw,09415002266,Nay Pyi Taw
Hpa-An Mobile Corner,Company,Wholesale-B,Other,09456001188,Hpa-An
