customer_name,customer_type,customer_group,territory,account_manager,accounts,companies,credit_limits,customer_details,customer_pos_id,customer_primary_address,customer_primary_contact,default_bank_account,default_commission_rate,default_currency,default_price_list,default_sales_partner,disabled,dn_required,email_id,first_name,gender,image,industry,is_frozen,is_internal_customer,language,last_name,lead_name,loyalty_program,loyalty_program_tier,market_segment,mobile_no,naming_series,opportunity_name,payment_terms,portal_users,primary_address,prospect_name,represents_company,sales_team,salutation,so_required,supplier_numbers,tax_category,tax_id,tax_withholding_category,tax_withholding_group,website
Shwe Pyi Mobile And Accessories,Company,Wholesale,Yangon,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09420173456,,,,,,,,,,,,,,,,
Ko Nay Lin Mobile Center,Company,Wholesale,Mandalay,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09450988211,,,,,,,,,,,,,,,,
Thiri Mingalar Phone Shop,Company,Wholesale,Bago,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09444123987,,,,,,,,,,,,,,,,
Taunggyi Star Mobile,Company,Wholesale,Taunggyi,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09425977120,,,,,,,,,,,,,,,,
Aung Yadanar Mobile,Company,Wholesale,Yangon,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09420011002,,,,,,,,,,,,,,,,
Hledan Mobile Hub,Company,Wholesale,Yangon,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09420011003,,,,,,,,,,,,,,,,
Maha Bandoola Phone Shop,Company,Wholesale,Yangon,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09420011004,,,,,,,,,,,,,,,,
Chan Mya Tharzi Mobile,Company,Wholesale,Mandalay,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09444477001,,,,,,,,,,,,,,,,
Pyigyitagon Accessories,Company,Wholesale,Mandalay,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09444477002,,,,,,,,,,,,,,,,
Bago Central Mobile,Company,Wholesale,Bago,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09450022001,,,,,,,,,,,,,,,,
Hpa An Mobile Market,Company,Wholesale,Myanmar,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09450022002,,,,,,,,,,,,,,,,
North Okkalapa Phone Shop,Company,Wholesale,Yangon,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09450022003,,,,,,,,,,,,,,,,
South Dagon Mobile,Company,Wholesale,Yangon,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09450022004,,,,,,,,,,,,,,,,
Mingaladon Mobile Center,Company,Wholesale,Yangon,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09450022005,,,,,,,,,,,,,,,,
Amarapura Phone Shop,Company,Wholesale,Mandalay,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09444477003,,,,,,,,,,,,,,,,
Meiktila Mobile Shop,Company,Wholesale,Myanmar,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09444477004,,,,,,,,,,,,,,,,
Kyaukse Phone Accessories,Company,Wholesale,Myanmar,,,,,,,,,,,,Wholesale,,,,,,,,,,,,,,,,,09444477005,,,,,,,,,,,,,,,,
Daw Hnin Ei Walk In,Individual,Retail,Yangon,,,,,,,,,,,,Retail,,,,,,,,,,,,,,,,,09430066215,,,,,,,,,,,,,,,,
Walk In Customer,Individual,Retail,Yangon,,,,,,,,,,,,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
